,Rooms,Price,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Propertycount,Type_h,Type_t,Type_u,Method_PI,Method_S,Method_SA,Method_SP,Method_VB,Regionname_Eastern Metropolitan,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria,Regionname_nan
17,2.0,750000.0,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,4019.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4.0,1985000.0,2.5,3067.0,3.0,1.0,2.0,512.0,133.0,1970.0,4019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,500000.0,2.5,3067.0,3.0,1.0,2.0,512.0,133.0,1970.0,4019.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2.0,1172500.0,2.5,3067.0,2.0,1.0,1.0,195.0,133.0,1970.0,4019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.0,441000.0,2.5,3067.0,1.0,1.0,1.0,0.0,133.0,1970.0,4019.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2.0,1310000.0,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,4019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,3.0,1200000.0,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,4019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2.0,847000.0,2.5,3067.0,3.0,1.0,2.0,512.0,133.0,1970.0,4019.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,3.0,1176500.0,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,4019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,3.0,955000.0,2.5,3067.0,3.0,1.0,0.0,183.0,133.0,1970.0,4019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2.0,890000.0,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,4019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,4.0,1330000.0,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,4019.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,3.0,900000.0,2.5,3067.0,3.0,2.0,2.0,0.0,133.0,2010.0,4019.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,3.0,1090000.0,2.5,3067.0,3.0,2.0,2.0,4290.0,27.0,1970.0,4019.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2.0,500000.0,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,4019.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2.0,1100000.0,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,4019.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2.0,1315000.0,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,4019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.0,480000.0,2.5,3067.0,3.0,1.0,2.0,512.0,133.0,1970.0,4019.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.0,423500.0,2.5,3067.0,3.0,1.0,2.0,512.0,133.0,1970.0,4019.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.0,426000.0,2.5,3067.0,1.0,1.0,1.0,0.0,133.0,1970.0,4019.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,3.0,1447500.0,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,4019.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.0,457000.0,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,1970.0,4019.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2.0,1135000.0,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,4019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2.0,700000.0,2.5,3067.0,3.0,1.0,2.0,512.0,133.0,1970.0,4019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,4.0,1542000.0,2.5,3067.0,4.0,3.0,1.0,0.0,133.0,1970.0,4019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,3.0,962000.0,2.5,3067.0,3.0,1.0,2.0,512.0,133.0,1970.0,4019.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,3.0,1290000.0,2.5,3067.0,3.0,2.0,2.0,147.0,18.0,1970.0,4019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,3.0,1290000.0,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,4019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1.0,470000.0,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,4019.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2.0,1180000.0,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,4019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,3.0,1195000.0,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,4019.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2.0,1012500.0,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,4019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2.0,970000.0,2.5,3067.0,3.0,1.0,2.0,512.0,133.0,1970.0,4019.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2.0,1030000.0,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,4019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,3.0,927000.0,2.5,3067.0,3.0,1.0,2.0,512.0,133.0,1970.0,4019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,3.0,840000.0,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,3464.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
53,3.0,730000.0,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,3464.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,3.0,770000.0,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,3464.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55,2.0,603000.0,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
56,3.0,700000.0,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,3464.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
57,3.0,600000.0,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
58,2.0,500000.0,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,3464.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59,2.0,420000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60,3.0,500000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,5.0,1035000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,4.0,960000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,4.0,960000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64,3.0,720000.0,13.5,3042.0,2.0,1.0,1.0,620.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65,4.0,785000.0,13.5,3042.0,3.0,1.0,2.0,597.0,127.0,1970.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
66,6.0,725000.0,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,3464.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
67,2.0,450000.0,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,3464.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
68,2.0,515000.0,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,3464.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
69,3.0,680000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
70,2.0,530000.0,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,3464.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
71,3.0,895000.0,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,3464.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
72,3.0,600000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
73,3.0,805000.0,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
74,3.0,760000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75,3.0,752000.0,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,3464.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76,3.0,580000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
77,3.0,725000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
78,4.0,758000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
79,2.0,440000.0,13.5,3042.0,2.0,1.0,1.0,192.0,133.0,1970.0,3464.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
80,3.0,970000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
81,5.0,755000.0,13.5,3042.0,3.0,2.0,2.0,596.0,133.0,1970.0,3464.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
82,4.0,985000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
83,3.0,700000.0,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,3464.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
84,2.0,509500.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
85,3.0,830000.0,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
86,2.0,462500.0,13.5,3042.0,2.0,1.0,1.0,164.0,133.0,2003.0,3464.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
87,3.0,670000.0,13.5,3042.0,3.0,2.0,2.0,657.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
88,2.0,675000.0,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
89,3.0,1042000.0,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
90,3.0,910000.0,13.5,3042.0,3.0,1.0,1.0,775.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
91,4.0,773000.0,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92,3.0,715000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
93,3.0,810000.0,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,3464.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
94,3.0,715000.0,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
95,3.0,790000.0,13.5,3042.0,3.0,1.0,3.0,614.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
96,2.0,460000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
97,3.0,540000.0,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,3464.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
98,3.0,825000.0,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,3464.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
99,3.0,685000.0,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
100,3.0,445000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
101,3.0,805000.0,13.5,3042.0,3.0,1.0,1.0,623.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
102,2.0,510000.0,13.5,3042.0,2.0,1.0,1.0,141.0,76.0,1970.0,3464.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
103,3.0,612000.0,13.5,3042.0,3.0,2.0,1.0,212.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
104,3.0,662000.0,13.5,3042.0,3.0,1.0,2.0,612.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
105,4.0,978000.0,13.5,3042.0,4.0,3.0,2.0,532.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
106,3.0,720000.0,13.5,3042.0,3.0,1.0,1.0,585.0,133.0,1970.0,3464.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
107,2.0,474000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
108,2.0,490000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
109,3.0,405000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
110,3.0,715000.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
111,3.0,671500.0,13.5,3042.0,3.0,1.0,2.0,512.0,133.0,1970.0,3464.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
112,4.0,765000.0,13.5,3042.0,4.0,1.0,2.0,509.0,133.0,1970.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
113,4.0,900000.0,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,3464.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
